"ddg.type","ddg.num","ddg.name","ddg.value","ddg.val.type","ddg.scope","ddg.from.env","ddg.time","ddg.hash","ddg.loc"
"Data",22,"hourly.df","Row 1  101 2019       1   15   0.894     99.5    0.819         0.508      0  0.1...","{""container"":""data_frame"", ""dimension"":[15371,19], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""logical""]}","R_GlobalEnv",FALSE,"","",""
"Data",23,"highest.temp.Jul.date","function(jul.date){...","function","R_GlobalEnv",FALSE,"","",""
"Data",24,"min.Jul.date","1","{""container"":""vector"", ""dimension"":[1], ""type"":[""integer""]}","R_GlobalEnv",FALSE,"","",""
"Data",25,"max.Jul.date","161","{""container"":""vector"", ""dimension"":[1], ""type"":[""integer""]}","R_GlobalEnv",FALSE,"","",""
"Data",26,"Jul.range.vector","  1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20....","{""container"":""vector"", ""dimension"":[161], ""type"":[""integer""]}","R_GlobalEnv",FALSE,"","",""
"Data",27,"high.temp.each.day.vector","  7.400  -0.315   2.874   3.493   2.075   2.864  -5.774   1.839   2.658  -1.288....","{""container"":""vector"", ""dimension"":[161], ""type"":[""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",28,"high.temp.days.df","Row 1                1                       7.4","{""container"":""data_frame"", ""dimension"":[161,2], ""type"":[""integer"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",29,"high.temp.days.df","Row 1   1  7.4","{""container"":""data_frame"", ""dimension"":[161,2], ""type"":[""integer"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",30,"total.rain.specific.day","function(jul.date){...","function","R_GlobalEnv",FALSE,"","",""
"Data",31,"total.rain.each.day.vector","1499.810    0.000    0.762    0.000    3.556    2.032    0.000    5.334    4.572...","{""container"":""vector"", ""dimension"":[161], ""type"":[""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",32,"total.rain.days.df","Row 1                1                    1499.81","{""container"":""data_frame"", ""dimension"":[161,2], ""type"":[""integer"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",33,"total.rain.days.df","Row 1   1   1499.81","{""container"":""data_frame"", ""dimension"":[161,2], ""type"":[""integer"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Device",34,"dev.2","","Device","undefined",FALSE,"","",""
"Device",35,"dev.2","","Device","undefined",FALSE,"","",""
"File",36,"dev.off.36.pdf","data/36-dev.off.36.pdf","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2019-06-10T15.32.35EDT","36c19fea8613f18119caa9a7706b0f1b","/Users/khanhl.ngo/HarvardForest/Day3Exercise/dev.off.36.pdf"
